Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-07-26,Aashiyaan Housing and Development Finance,Seed,135000000.0,2018,2016,Kolkata,Finance
2018-07-26,GenRobotic,Seed,5800000.0,2018,2016,Trivandrum,Marketing
2018-07-27,DailyNinja,Series A,5800000.0,2018,2016,Bangalore,Technology
2018-07-29,Urban Ladder,Seed,5600000.0,2018,2016,Bangalore,Real Estate
2018-07-29,iChamp,Seed,5000000.0,2018,2016,Gurugram,Education
2018-07-31,Agricxlab Private Limited,Seed,500000.0,2018,2016,Thane,E-Commerce
2018-07-31,Naaptol,Venture - Series Unknown,15000000.0,2018,2016,Mumbai,Consumer Services
2018-08-01,Eupheus Learning,Seed,5800000.0,2018,2016,Delhi,Education
2018-08-02,GamingMonk,Series A,40000000.0,2018,2016,Delhi,Gaming
2018-08-02,Antariksh Waste Ventures Pvt ltd,Seed,500000.0,2018,2016,Chennai,Technology
2018-08-03,Hero Electric,Venture - Series Unknown,1600000000.0,2018,2016,Delhi,Manufacture
2018-08-03,Dunzo,Seed,70000000.0,2018,2016,Bangalore,Technology
2018-08-03,Healthkart,Venture - Series Unknown,10000000.0,2018,2016,Gurugram,Automotive
